section,method,url,doc,doc_url
Groups,PATCH,https://webexapis.com/v1/groups/{groupId},Update a Group,https://developer.webex.com/docs/api/v1/groups/update-a-group
Groups,GET,https://webexapis.com/v1/groups/{groupId},Get Group Details,https://developer.webex.com/docs/api/v1/groups/get-group-details
Groups,GET,https://webexapis.com/v1/groups,List and Search Groups,https://developer.webex.com/docs/api/v1/groups/list-and-search-groups
Groups,GET,https://webexapis.com/v1/groups/{groupId}/members,Get Group Members,https://developer.webex.com/docs/api/v1/groups/get-group-members
Groups,DELETE,https://webexapis.com/v1/groups/{groupId},Delete a Group,https://developer.webex.com/docs/api/v1/groups/delete-a-group
Historical Analytics,GET,https://analytics.webexapis.com/v1/analytics/messagingMetrics/dailyTotals,Historical Data related to Messaging,https://developer.webex.com/docs/api/v1/historical-analytics/historical-data-related-to-messaging
Historical Analytics,GET,https://analytics.webexapis.com/v1/analytics/roomDeviceMetrics/dailyTotals,Historical Data related to Room Devices,https://developer.webex.com/docs/api/v1/historical-analytics/historical-data-related-to-room-devices
Historical Analytics,GET,https://analytics.webexapis.com/v1/analytics/meetingsMetrics/aggregates,Historical Data related to Meetings,https://developer.webex.com/docs/api/v1/historical-analytics/historical-data-related-to-meetings
Hybrid Clusters,GET,https://webexapis.com/v1/hybrid/clusters,List Hybrid Clusters,https://developer.webex.com/docs/api/v1/hybrid-clusters/list-hybrid-clusters
Hybrid Clusters,GET,https://webexapis.com/v1/hybrid/clusters/{hybridClusterId},Get Hybrid Cluster Details,https://developer.webex.com/docs/api/v1/hybrid-clusters/get-hybrid-cluster-details
Hybrid Connectors,GET,https://webexapis.com/v1/hybrid/connectors,List Hybrid Connectors,https://developer.webex.com/docs/api/v1/hybrid-connectors/list-hybrid-connectors
Hybrid Connectors,GET,https://webexapis.com/v1/hybrid/connectors/{connectorId},Get Hybrid Connector Details,https://developer.webex.com/docs/api/v1/hybrid-connectors/get-hybrid-connector-details
Licenses,GET,https://webexapis.com/v1/licenses,List Licenses,https://developer.webex.com/docs/api/v1/licenses/list-licenses
Licenses,GET,https://webexapis.com/v1/licenses/{licenseId},Get License Details,https://developer.webex.com/docs/api/v1/licenses/get-license-details
Locations,GET,https://webexapis.com/v1/locations,List Locations,https://developer.webex.com/docs/api/v1/locations/list-locations
Locations,GET,https://webexapis.com/v1/locations/{locationId},Get Location Details,https://developer.webex.com/docs/api/v1/locations/get-location-details
Locations,POST,https://webexapis.com/v1/locations,Create a Location,https://developer.webex.com/docs/api/v1/locations/create-a-location
Locations,PUT,https://webexapis.com/v1/locations/{locationId},Update a Location,https://developer.webex.com/docs/api/v1/locations/update-a-location
Locations,GET,https://webexapis.com/v1/locations/{locationId}/floors,List Location Floors,https://developer.webex.com/docs/api/v1/locations/list-location-floors
Locations,POST,https://webexapis.com/v1/locations/{locationId}/floors,Create a Location Floor,https://developer.webex.com/docs/api/v1/locations/create-a-location-floor
Locations,GET,https://webexapis.com/v1/locations/{locationId}/floors/{floorId},Get Location Floor Details,https://developer.webex.com/docs/api/v1/locations/get-location-floor-details
Locations,PUT,https://webexapis.com/v1/locations/{locationId}/floors/{floorId},Update a Location Floor,https://developer.webex.com/docs/api/v1/locations/update-a-location-floor
Locations,DELETE,https://webexapis.com/v1/locations/{locationId}/floors/{floorId},Delete a Location Floor,https://developer.webex.com/docs/api/v1/locations/delete-a-location-floor
Meeting Chats,GET,https://webexapis.com/v1/meetings/postMeetingChats,List Meeting Chats,https://developer.webex.com/docs/api/v1/meeting-chats/list-meeting-chats
Meeting Chats,DELETE,https://webexapis.com/v1/meetings/postMeetingChats,Delete Meeting Chats,https://developer.webex.com/docs/api/v1/meeting-chats/delete-meeting-chats
Meeting Closed Captions,GET,https://webexapis.com/v1/meetingClosedCaptions,List Meeting Closed Captions,https://developer.webex.com/docs/api/v1/meeting-closed-captions/list-meeting-closed-captions
Meeting Closed Captions,GET,https://webexapis.com/v1/meetingClosedCaptions/{closedCaptionId}/snippets,List Meeting Closed Caption Snippets,https://developer.webex.com/docs/api/v1/meeting-closed-captions/list-meeting-closed-caption-snippets
Meeting Closed Captions,GET,https://webexapis.com/v1/meetingClosedCaptions/{closedCaptionId}/download,Download Meeting Closed Caption Snippets,https://developer.webex.com/docs/api/v1/meeting-closed-captions/download-meeting-closed-caption-snippets
Meeting Invitees,GET,https://webexapis.com/v1/meetingInvitees,List Meeting Invitees,https://developer.webex.com/docs/api/v1/meeting-invitees/list-meeting-invitees
Meeting Invitees,POST,https://webexapis.com/v1/meetingInvitees,Create a Meeting Invitee,https://developer.webex.com/docs/api/v1/meeting-invitees/create-a-meeting-invitee
Meeting Invitees,POST,https://webexapis.com/v1/meetingInvitees/bulkInsert,Create Meeting Invitees,https://developer.webex.com/docs/api/v1/meeting-invitees/create-meeting-invitees
